patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id,error
Clinical,,,"['hepatocellular cancer', 'bladder cancer', 'breast cancer', 'cervical cancer', 'colorectal cancer', 'endometrial cancer', 'anal cancer', 'Merkel cell carcinoma', 'gastric cancer', 'head and neck cancer', 'kidney cancer', 'liver cancer', 'lung cancer', 'ovarian cancer', 'prostate cancer', 'esophageal cancer', 'gall bladder cancer', 'pancreatic cancer', 'thyroid cancer', 'skin cancer', 'leukemia', 'multiple myeloma', 'chronic lymphocytic lymphoma', 'adult T cell leukemia', 'B-cell lymphoma', 'acute myelogenous leukemia', ""Hodgkin's lymphoma"", ""non-Hodgkin's lymphoma"", ""Waldenstrom's Macroglubulinemia"", 'hairy cell lymphoma', ""Burkett's lymphoma"", 'glioblastoma', 'melanoma', 'rhabdosarcoma', 'sarcoma', 'non-small cell lung cancer']",[],The patent's broadest independent claim is a method of treating cancer using a combination of an AXL/MER kinase inhibitor and a PD-1 binding antibody. This indicates a focus on clinical application rather than composition or manufacturing.,065-090-598-364-810,
Composition,Unconjugated Payload,,[],[],"The patent primarily claims peptides with specific sequences as pharmaceutical compositions, which are used in immunotherapy. These peptides are not conjugated to any other components, classifying them as unconjugated payloads.",079-889-999-496-73X,
Clinical,,,['pulmonary metastasis of osteosarcoma'],[],The patent's broadest independent claim focuses on a method of treating pulmonary metastasis of osteosarcoma using an agent that interferes with specific signaling pathways. The claims are centered around treatment methods rather than the composition of the agent itself.,081-258-408-103-238,
Clinical,,,"['cancer associated with activation of the MAPK pathway', 'NRAS mutated cancer', 'BRAF-mutated cancer', 'melanoma', 'multiple myeloma', 'lung cancer', 'colorectal cancer', 'thyroid carcinoma', 'blood cancer', 'leukemia', 'lymphoma']",[],"The primary focus of the patent is on methods of treating cancers associated with the MAPK pathway using a combination of MAPK inhibitors and agents targeting SLITRK6. The claims are centered around treatment methods rather than specific compositions, making it a clinical patent.",084-851-955-294-447,
Clinical,,,"['colon cancer', 'lung cancer', 'breast cancer', 'pancreatic cancer', 'skin cancer', 'brain cancer', 'ovarian cancer', 'kidney cancer', 'stomach cancer', 'head and neck cancer', 'esophageal cancer', 'bladder cancer', 'rectal cancer', 'bone cancer', 'uterine cancer', 'prostate cancer', 'hematological malignancy']",[],The patent's broadest independent claims focus on methods of treating cancer using a combination of immune checkpoint modulators and fermented compositions. This indicates a primary focus on clinical applications rather than composition or manufacturing processes.,080-312-925-925-983,
Clinical,,,"['cancer', 'multiple myeloma']","['subjects with prior treatment for multiple myeloma', 'relapsed or refractory subjects']","The patent's broadest independent claim focuses on a method of treating cancer using specific antibodies, indicating a clinical focus. The claims detail dosing regimens and combinations for treating multiple myeloma, including specific patient populations such as those with prior treatments or refractory conditions.",057-190-951-010-078,
Clinical,,,['prostate cancer'],"['castration resistant prostate cancer', 'PTEN mutation', 'AKT mutation', 'PI3K mutation', 'Her2/ErbB2 mutation']","The broadest independent claim is directed towards a combination therapy for treating prostate cancer, focusing on specific genetic mutations and castration-resistant cases. The claims emphasize therapeutic methods rather than the composition itself.",061-271-525-114-64X,
Clinical,,,['diarrhea'],['subjects with elevated CGRP levels'],"The patent's broadest independent claim focuses on a method of treating diarrhea using anti-CGRP antibodies, indicating a clinical application. The claims specify the treatment of diarrhea in subjects with elevated CGRP levels, which defines the clinical indication and population.",065-713-339-469-333,
Clinical,,,"['cancer', 'ovarian cancer', 'breast cancer', 'PIK3CA mutated or amplified hormone receptor positive breast cancer', 'PIK3CA mutated or amplified ovarian cancer']","['cancer resistant or refractory to EGFR inhibitor', 'cancer resistant or refractory to IGF1R inhibitor', 'cancer resistant or refractory to PI3K inhibitor']","The broadest independent claim is directed to a pharmaceutical combination, but the patent primarily focuses on methods for treating cancer using this combination. The claims detail specific cancer types and patient populations, indicating a clinical focus.",064-098-356-588-125,
Clinical,,,"['lung cancer', 'breast cancer']",[],"The patent's primary focus is on a method of treating cancer using a combination of BT1718 and a checkpoint inhibitor. The claims are centered around treatment methods, making it a clinical patent.",068-724-083-665-156,
Clinical,,,"['lung cancer', 'melanoma', 'colon cancer']",[],"The primary focus of the patent is on a method for preventing and/or treating cancer using a seleno-amino acid, which classifies it under 'Clinical'. The claims specifically mention treatment of lung cancer, melanoma, and colon cancer.",086-407-234-857-643,
Clinical,,,"['muscle-invasive bladder cancer', 'transitional cell carcinoma of the urothelium']",['patients who have not received prior systemic chemotherapy or immunotherapy for treatment of MIBC'],"The patent primarily claims methods of treating bladder cancer using a combination of durvalumab and platinum-based chemotherapies, focusing on clinical treatment regimens. The claims detail specific dosing schedules and patient populations, indicating a clinical focus.",073-351-883-552-311,
Clinical,,,"['cancer', 'pancreatic cancer', 'biliary tract cancer']","['distant metastatic cancer', 'distant metastatic pancreatic cancer', 'patients not previously treated with anti-cancer drugs']","The patent primarily claims a method of treating cancer using a combination of an immune checkpoint inhibitor and FOLFIRINOX therapy. The claims focus on treatment methods, dosing regimens, and specific patient populations, classifying it as a clinical patent.",079-099-965-629-788,
Composition,Full ADC,,[],[],"The primary focus of the patent is on the composition of immunoconjugates, specifically detailing the antibody, linker, and payload components. The broadest independent claim is directed towards the isolated monoclonal antibody and its conjugation with a cytotoxic agent, indicating a full ADC composition.",094-613-592-652-936,
Clinical,,,"['epithelial cancer', 'prostate cancer', 'liver cancer', 'bladder cancer', 'lung cancer', 'cutaneous melanoma']","['castrate-resistant prostate cancer', 'recurrent prostate cancer', 'metastatic prostate cancer']","The primary focus of the patent is on a method for treating epithelial cancer using a combination of compositions. The claims detail specific cancer types and patient populations, indicating a clinical application.",084-399-081-223-657,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on an immunogenic composition comprising a peptide of the N-domain of carcinoembryonic antigen (CEA). The claims are centered around the composition itself, rather than specific methods of treatment or clinical applications.",083-315-611-891-584,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the CD20 binding agent, specifically the antibody component, as detailed in the independent claims. There is no mention of a linker or payload, indicating that the composition is an unconjugated antibody.",093-492-454-697-015,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of an antibody or antigen-binding fragment that binds to PD-L1. The claims detail the specific sequences and structures of the antibody, indicating it is an unconjugated antibody composition.",089-071-389-446-868,
Clinical,,,"['neuroblastoma', 'glioblastoma', 'medulloblastoma', 'astrocytoma', 'melanoma', 'small-cell lung cancer', 'desmoplastic small round cell tumor', 'osteosarcoma', 'rhabdomyosarcoma', 'soft tissue sarcoma']","['primary refractory or relapsed high risk-neuroblastoma', 'minimal residual disease in high-risk neuroblastoma']","The patent's primary focus is on a method of treating GD2 positive cancers using an anti-GD2 antibody, which classifies it as a 'Clinical' patent. The claims detail specific dosing regimens and combination therapies, emphasizing treatment methods over composition or manufacturing aspects.",107-646-048-750-699,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of an anti-DR5 antibody, as evidenced by the detailed claims regarding the specific sequences and structures of the antibody. There are no claims related to a conjugated form with a linker or payload, making it an unconjugated antibody composition.",106-663-859-695-636,
Clinical,,,"['cancer', 'tumor']",[],The patent's broadest independent claim focuses on a method of treatment involving the administration of glucocorticoids and immunostimulating antibodies to reduce cytokine release during cancer or tumor treatment. This indicates a primary focus on clinical application rather than composition or manufacturing.,102-176-089-448-271,
Clinical,,,"['cancer', 'haematological cancer', 'leukaemia', 'lymphoma', 'multiple myeloma']",[],"The primary focus of the patent is on a method of treating cancer using a combination of tinostamustine and anti-CD38 antibodies. The claims are centered around treatment methods, making it a clinical patent.",110-879-776-029-547,
Clinical,,,"['colorectal cancer', 'BRAF V600E-mutant metastatic colorectal cancer']","['advanced colorectal cancer', 'metastatic colorectal cancer', 'BRAF mutation', 'V600E mutation']","The primary focus of the patent is on the use of a combination of compounds for treating specific types of cancer, particularly colorectal cancer with BRAF mutations. The claims are centered around treatment methods and specific patient populations, indicating a clinical patent type.",088-318-412-661-730,
Composition,,,[],[],"The primary focus of the patent is on genetically engineered microorganisms designed to produce anti-cancer molecules, which falls under the 'Composition' category. The claims are centered around the composition of these microorganisms rather than specific treatment methods or clinical applications.",094-196-854-243-872,
Clinical,,,"['malignant glioma', 'pilocytic astrocytomas', 'meningiomas', 'metastatic brain tumors', 'pituitary adenomas']",[],"The patent's main focus is on a method of treating CNS cancers using perillyl alcohol and CAR-T cells, which classifies it under 'Clinical'. The claims specify various CNS cancer types as the indications being treated.",095-599-598-724-45X,
Clinical,,,"['non-small cell lung cancer', 'pancreatic cancer']",[],The primary focus of the patent is on methods of treating specific cancers using a neutralizing antibody against LIF. The claims are centered around clinical applications rather than the composition of the antibody itself.,094-336-894-348-320,
Clinical,,,"['multiple myeloma', ""non-Hodgkin's lymphoma""]",[],"The primary focus of the patent is on a method of treating tumors using a combination therapy, which includes a polypeptide construct and a CD47 antagonist. The claims are centered around the therapeutic application, specifically targeting multiple myeloma and non-Hodgkin's lymphoma.",097-659-527-342-985,
Clinical,,,"['cancer cachexia', 'pancreatic cancer']",[],The patent primarily claims methods for treating cancer cachexia and pancreatic cancer using IL-1 pathway inhibitors. The focus is on clinical treatment methods rather than the composition of the inhibitors themselves.,105-608-110-182-929,
Composition,Unconjugated Payload,,[],[],"The primary focus of the patent is on a nitrogen-containing fused heterocyclic compound, which acts as an SHP2 inhibitor. The claims are centered around the chemical structure and variations of this compound, indicating it is an unconjugated payload.",105-402-252-703-562,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to an antibody that binds to the BAI1 protein, with additional claims covering conjugation to various effector moieties. The focus is on the antibody itself, making it a 'Conjugated Antibody' as the linker and payload are broadly defined.",103-178-589-463-414,
Clinical,,,"['lymphoma', 'leukemia']",[],"The patent primarily claims methods for treating lymphoma or leukemia using a combination of GDC-0199 and obinutuzumab. The focus is on treatment regimens and dosing, which classifies it under 'Clinical'.",103-756-111-662-635,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the claims is on a therapeutic antibody or antigen binding fragment that targets a specific polypeptide involved in osteoclast differentiation. The claims do not specify a linker or payload, indicating the invention is centered on the unconjugated antibody component.",106-546-136-750-010,
Clinical,,,['cancer'],[],"The patent's primary focus is on methods of treatment involving the administration of retinoid and rexinoid compounds in combination with CAR-modified immune cells for cancer immunotherapy. The claims are centered around treatment regimens and dosing, which aligns with the 'Clinical' category.",111-378-227-047-612,
Clinical,,,"['lung cancer', 'non-small cell lung cancer']","['patients with NSCLC', 'patients not previously treated with systemic treatment', 'patients without EGFR mutations, ALK translocations, or ROS1 fusions', 'patients with locally advanced or metastatic NSCLC']","The patent's broadest independent claim focuses on a method of treating lung cancer using an anti-PD-1 antibody in combination with chemotherapy. It specifies treatment regimens and patient populations, indicating a clinical focus.",104-540-852-418-430,
Clinical,,,"['CD38 positive disease', 'multiple myeloma', 'large B cell lymphoma', 'T cell acute lymphoblastic leukaemia', 'acute myeloid leukaemia', 'chronic lymphocytic leukaemia']",[],The primary focus of the patent is on the method of treatment using a combination of a desialylation agent and a CD38 targeting agent for CD38 positive diseases. The claims emphasize treatment methods rather than the composition of the agents themselves.,112-349-078-467-261,
Clinical,,,"['gastric cancer', 'lung cancer']",['resistant to treatment with an anti-c-Met antibody or a c-Met/EGFR dual inhibitor'],"The primary focus of the patent is on a method of treating cancer using a combination of inhibitors, which falls under the 'Clinical' category. The claims specifically address treatment of gastric and lung cancers that are resistant to certain therapies.",113-436-970-886-928,
Clinical,,,['cancer'],[],"The primary focus of the patent is on methods of treating cancer using a Wnt pathway inhibitor, specifically a soluble receptor with a Fri domain of a human FZD8 protein. The claims are centered around treatment methods and monitoring for side effects, classifying it as a clinical patent.",117-309-822-963-69X,
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) with a specific structure, including an antibody, linker, and payload. This indicates a 'Full ADC' composition subtype as all three components are specified in the claims.",114-876-548-669-413,
Composition,Unconjugated Linker,,[],[],"The primary claim focuses on a compound used for site-selective labeling, which is indicative of an unconjugated linker. There are no claims related to a full ADC or specific therapeutic use, thus classifying it as a composition patent with an unconjugated linker subtype.",119-200-533-083-913,
Clinical,,,['cancer'],[],"The broadest independent claim focuses on a method for increasing immune cell activation using mRNA-loaded lipid nanoparticles, which is a therapeutic method. The patent is therefore classified under 'Clinical' as it pertains to treatment methods for cancer.",117-579-125-373-109,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on antibodies capable of binding HLA-A2/TyrD in an HLA restricted manner. The claims detail the specific CDR sequences and characteristics of these antibodies, classifying it as an 'Unconjugated Antibody' under the composition category.",127-570-183-370-696,
CMC,,Conjugation Method,[],[],"The patent primarily focuses on methods for producing compounds used in antibody-drug conjugates, specifically detailing the chemical processes involved in the synthesis and conjugation of these compounds. The claims are centered around the production and chemical transformation steps, indicating a focus on the conjugation method rather than the final therapeutic use or composition of the ADC.",122-740-352-053-876,
Clinical,,,"['leukemia', 'lymphoma', 'myeloma']",[],"The patent's broadest independent claims focus on methods of treating cancer using an antibody-drug conjugate. The claims specify the treatment of hematopoietic tumors, including leukemia, lymphoma, and myeloma, indicating a clinical focus.",124-239-348-555-842,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on antibodies with specific glutamine residues for conjugation, which are linked to various moieties. The claims detail the structure and characteristics of these conjugated antibodies, making it a 'Conjugated Antibody' composition.",116-390-804-620-751,
Clinical,,,['acute myelogenous leukemia (AML)'],"['CD33+ cancer', 'AML with Recurrent Genetic Abnormalities', 'AML with myelodysplasia-related changes', 'Therapy-related myeloid neoplasms', 'Myeloid sarcoma', 'Myeloid proliferations related to Down syndrome', 'Blastic plasmacytoid dendritic cell neoplasm', 'AML not otherwise categorized', 'AML-M0', 'AML-M1', 'AML-M2', 'AML-M3', 'AML-M4', 'AML-M5', 'AML-M6', 'AML-M7', 'newly diagnosed', 'relapsed', 'refractory']","The primary claim is a method of treatment for AML using a bispecific tandem diabody. The claims focus on clinical applications, specifying various AML subtypes and patient conditions, indicating a clinical patent type.",120-295-584-136-325,
Clinical,,,"['CNS-cancer', 'glioma', 'CNS hematological cancer', 'CNS multiple myeloma', 'CNS leukemia', 'CNS myelodysplastic syndrome', 'CNS lymphoma']","['patients with no prior treatment with an anti-angiogenic agent', 'patients with no prior treatment with a proteasome inhibitor', 'patients with a level of MGMT promoter methylation of 8% or less', 'patients with specific pathophysiological markers', 'patients with normal EGFR status']","The patent primarily claims methods of treating CNS cancers using marizomib in combination with other agents. The claims focus on treatment regimens and specific patient populations, indicating a clinical focus.",114-379-651-000-219,
Clinical,,,"['immune system disease', 'autoimmune disease', 'inflammatory disease', 'anemia', 'clotting disorder', 'hemorrhagic condition', 'cancer', 'lymphoma', 'leukemia', 'myeloma', 'malignant immunoproliferative disease']",[],"The primary focus of the patent is on methods of treatment using T-cells expressing chimeric ligand receptors to eliminate target cells, specifically hematopoietic stem cells. The claims are centered around therapeutic methods for various diseases, making it a clinical patent.",136-473-152-521-852,
Clinical,,,"['lymphoma', 'non-Hodgkin Lymphoma', 'diffuse large B-cell lymphoma (DLBCL)', 'follicular lymphoma (FL)', 'Mantle Cell lymphoma (MCL)', 'chronic lymphatic lymphoma (CLL)']",[],"The primary focus of the patent is on a method of treating lymphoma using a specific antibody-drug conjugate. The claims detail the treatment of various types of lymphoma, indicating a clinical application.",133-474-780-951-517,
Composition,Conjugated Payload,,[],[],"The primary focus of the patent is on a drug delivery system comprising a polymalic acid platform conjugated to a pro-drug, specifically temozolomide, and targeting antibodies. The claims emphasize the composition of the nanoconjugate, making it a 'Conjugated Payload' as the payload (temozolomide) is specified while the antibody and linker are broadly defined.",131-633-252-889-679,
Clinical,,,['cancer'],[],"The patent's main focus is on methods of treating cancer using a combination of a CD40 agonist and chemotherapy, based on specific biomarkers. The claims are centered around treatment methods and patient selection, which aligns with the 'Clinical' category.",131-104-069-169-039,
Clinical,,,"['cancer with BRAF mutation', 'malignant epithelial tumor', 'carcinoma', 'colon cancer', 'gastric cancer', 'lung cancer', 'breast cancer', 'pancreatic cancer', 'oral cancer', 'prostate cancer', 'germline cancer', 'rectal cancer', 'liver cancer', 'kidney cancer', 'papillary thyroid cancer', 'ovarian cancer', 'colorectal cancer', 'stage IV colorectal cancer']",[],"The patent's broadest independent claim is a method of treating cancer with a specific combination of inhibitors, focusing on clinical applications rather than the composition itself. The claims detail various cancer types and stages, indicating a primary focus on clinical treatment methods.",178-914-074-443-776,
Clinical,,,"['lung cancer', 'brain cancer', 'breast cancer', 'cervical cancer', 'colon cancer', 'gastric cancer', 'head and neck cancer', 'kidney cancer', 'leukemia', 'liver cancer', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'skin cancer', 'testicular cancer']",[],"The primary focus of the patent is on a method of treating cancer using a combination of EpCAM and HGFR inhibitors. The claims are centered around the therapeutic application, making it a clinical patent with specific cancer indications listed.",172-380-593-123-270,
Clinical,,,"['acute myeloid leukemia (AML)', 'myelodysplastic syndromes (MDS)', 'myeloproliferative neoplasms (MPN)', 'chronic myeloid leukemia (CML)', 'chronic myelomonocytic leukemia (CMML)']","['newly-diagnosed AML patients ineligible for standard intensive chemotherapy', 'newly-diagnosed AML patients aged 75 years or older', 'newly-diagnosed AML patients with comorbidities precluding standard invasive chemotherapy']","The primary focus of the patent is on a method of treatment using a combination therapy for specific malignancies, particularly targeting certain patient populations. The claims detail the therapeutic use of an antibody and venetoclax, emphasizing clinical applications rather than composition or manufacturing aspects.",131-096-595-518-166,
Clinical,,,"[""B-Cell Non-Hodgkin's lymphomas"", 'lymphocytic leukemias', 'follicular lymphomas', ""Small Non-Cleaved Cell Lymphomas/Burkitt's lymphoma"", 'marginal zone lymphomas', 'Mantle cell lymphoma', 'Large Cell Lymphoma', 'hairy cell leukemia', 'lymphocytic lymphoma', ""waldenstrom's macroglobulinemia"", 'acute lymphocytic leukemia', 'chronic lymphocytic leukemia/small lymphocytic lymphoma', 'B-cell prolymphocytic leukemia', 'plasma cell neoplasms', 'plasma cell myeloma', 'multiple myeloma', 'plasmacytoma', ""Hodgkin's disease"", 'post transplant lymphoproliferative disorder', 'HIV associated lymphoma', 'primary CNS lymphoma']",[],The patent's main focus is on a method of treatment using a combination therapy for various types of lymphomas and leukemias. The claims are directed towards clinical applications rather than composition or manufacturing aspects.,145-356-307-316-217,
Clinical,,,['melanoma'],"['treatment naive', 'immune checkpoint inhibitor naive', 'previously treated with PD-L1 inhibitor', 'resistant/refractory', 'metastatic']","The patent claims focus on a method of treating melanoma using a combination of an HDAC inhibitor and nivolumab, specifying various patient populations. The claims are centered on clinical applications rather than composition or manufacturing aspects.",144-336-204-589-568,
Clinical,,,['prostate cancer'],['metastatic castration-resistant'],"The primary focus of the patent is on a method of treating prostate cancer using a combination of Talabostat and an anti-PD-1 antibody. The claims are centered around the clinical application and dosing regimen, indicating a clinical patent type.",151-271-258-464-866,
Clinical,,,"['malignant neoplastic cell proliferative disorders', 'renal cell carcinoma', 'melanoma']",[],"The patent's broadest independent claim focuses on a method of treating malignant neoplastic cell proliferative disorders using a combination of an mTOR inhibitor and a CD4 lymphocyte depleting agent. The claims are centered around treatment methods, making it a clinical patent.",145-886-687-363-717,
Clinical,,,"['endometrial hyperproliferative disorders', 'ovarian hyperproliferative disorders', 'ovarian cancer', 'epithelial ovarian cancer', 'endometriosis']",[],The patent's broadest independent claim focuses on a method for treating endometrial or ovarian hyperproliferative disorders using specific inhibitors. The claims are centered around treatment methods rather than compositions or manufacturing processes.,146-653-865-372-210,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to a fusion protein comprising an antibody moiety and a TNFα moiety, specifically detailing the antibody as Trastuzumab. This indicates a focus on the conjugated antibody, with the TNFα moiety being the payload, but no linker is specified.",150-512-567-805-757,
Clinical,,,['cancer'],[],"The patent primarily claims methods for improving the therapeutic index of chemotherapeutic drugs by reducing toxicity, which is a clinical application. The claims focus on treatment methods involving the administration of a drug complex to patients, thus classifying it under 'Clinical'.",146-659-531-482-45X,
Clinical,,,"['cancer', 'melanoma', 'sporadic cutaneous melanoma', 'breast cancer', 'nasopharyngeal carcinoma', 'acute myeloid leukemia', 'hepatocellular carcinoma', 'colorectal cancer', 'lung cancer', 'colon adenocarcinoma', 'prostate cancer', 'mesothelioma', 'non-small cell lung cancer', 'urothelial carcinoma', 'glioblastoma', 'glioma', 'neuroblastoma', 'Wilms tumor', 'cervical cancer', 'prometastatic cervical cancer', 'gastric cancer', 'ovarian cancer', 'thyroid cancer', 'Burkitt lymphoma', 'chronic lymphocytic leukemia', 'Kaposi sarcoma', 'cutaneous T-cell lymphoma', 'liver cancer', 'liver adenoma', 'pancreatic cancer', 'pancreatic adenocarcinoma', 'squamous cell carcinoma', 'head and neck cancer', 'biliary tract cancer', 'non-Hodgkin lymphoma', 'leukemia', 'bladder cancer', 'endometrial cancer', 'chronic myeloid leukemia', 'promyelocytic leukemia', 'esophageal squamous cell carcinoma', 'oligodendroglioma', 'astrocytoma', 'lymphoma', 'multiple myeloma', 'plasma cell myeloma', 'osteosarcoma', 'renal medullary carcinoma', 'small cell lung cancer', 'esophageal cancer', 'gastroesophageal cancer', 'astrocytic glioma']","['relapsed cancer', 'human with del(17p)']","The patent's broadest independent claim focuses on a method of treating cancer by modulating specific biomarkers and using inducers of immunogenic cell death. It includes a wide range of cancer types and specific patient populations, indicating a clinical focus.",146-316-513-944-96X,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on pharmaceutical formulations comprising an anti-angiogenic drug, specifically an anti-VEGF antibody like ranibizumab, combined with a liposome delivery system. The broadest independent claim is directed towards the composition of these formulations, classifying it as a 'Conjugated Antibody' due to the specified antibody component.",135-562-760-092-762,
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to a pharmaceutical combination comprising an anti-CD47 antibody and a second therapeutic agent. The claims specify the structure of the anti-CD47 antibody, indicating a focus on the antibody component of the combination, classifying it as a 'Conjugated Antibody'.",164-353-358-585-594,
Composition,Unconjugated Antibody,,[],[],"The primary claim is directed to an isolated antibody that binds to HER2, which classifies it as a composition patent. The antibody is specified without a linker or payload, making it an 'Unconjugated Antibody' subtype.",143-331-621-780-137,
Composition,Unconjugated Antibody,,[],[],"The primary claim is directed to a molecular target therapeutic drug containing a substance that neutralizes or inhibits CHRNB2, with specific mention of antibodies as active ingredients. The claims focus on the composition of the antibody targeting CHRNB2, without specifying a conjugated payload or linker, classifying it as an unconjugated antibody.",143-333-326-157-341,
Clinical,,,"['bladder cancer', 'breast cancer', 'clear cell kidney cancer', 'head/neck squamous cell carcinoma', 'lung squamous cell carcinoma', 'malignant melanoma', 'non-small-cell lung cancer (NSCLC)', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'renal cell cancer', 'small-cell lung cancer (SCLC)', 'triple negative breast cancer', 'advanced or metastatic melanoma']",['cancer tests positive for human PD-L1'],"The primary focus of the patent is on a method of treating cancer using a combination therapy of a PD-1 antagonist and a TLR9 agonist. The claims are centered around clinical applications, specifying various cancer types and patient populations, making it a 'Clinical' patent.",152-961-399-836-795,
Clinical,,,['mature T cell lymphoma'],"['subjects with Grade 2 or greater peripheral neuropathy', 'subjects with Grade 3 or greater peripheral sensory neuropathy', 'subjects with Grade 3 neuropathy', 'subjects with Grade 2 or greater peripheral motor neuropathy', 'subjects with treatment-emergent grade 3-4 neutropenia']","The patent primarily claims methods of treatment for mature T cell lymphoma using an anti-CD30 ADC in combination with chemotherapy, focusing on dosing regimens and managing side effects like neuropathy and neutropenia. The claims are centered around clinical applications rather than the composition of the ADC itself.",157-531-762-403-874,
Composition,Unconjugated Antibody,,[],[],"The patent's broadest independent claim focuses on isolated polynucleotides encoding an anti-CGRP antibody or antibody fragment. This indicates the primary inventive concept is the composition of the antibody itself, without specifying a conjugated linker or payload.",158-179-365-129-660,
Composition,,,[],[],"The primary focus of the patent is on a pharmaceutical composition comprising a specific compound, aluminum-containing particles, and excipients. The broadest independent claim is a composition claim, indicating the patent is primarily about the composition of the drug.",142-311-806-125-847,
Composition,Unconjugated Payload,,[],[],"The primary focus of the claims is on the structure of Exatecan derivatives, which are payload intermediates for ADCs. The claims do not specify a complete ADC construct or a method of treatment, thus classifying it as 'Unconjugated Payload'.",157-074-359-900-554,
Clinical,,,['H3K27M-glioma'],[],"The patent's broadest independent claim focuses on a method of treating H3K27M-glioma, indicating a clinical application. The claims detail treatment regimens based on gene expression, which aligns with clinical use rather than composition or manufacturing aspects.",155-431-060-249-322,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on an immunoglobulin single variable domain that binds to HVEM and suppresses tumor growth, which classifies it as an unconjugated antibody. The claims do not specify a linker or payload, thus it does not fall under a full ADC or conjugated subtype.",165-564-341-444-265,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on specific anti-S100A4 antibodies with anti-angiogenic activity. The claims detail the antibodies and their production, making it a composition patent for unconjugated antibodies.",164-948-407-961-975,
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on a composition comprising the L19-TNFα immunocytokine in a specific buffer formulation. The claims detail the components and concentrations of the formulation, indicating a focus on the antibody component of the composition.",170-848-245-907-253,
Clinical,,,['KRAS-mutated metastatic colorectal cancer'],"['patients who have not received any prior treatment for metastatic colorectal cancer', 'patients who have not received any prior treatment with bevacizumab']","The patent's main focus is on a method of treating KRAS-mutated metastatic colorectal cancer using a combination of onvansertib and bevacizumab. The claims specify patient populations based on prior treatment history, indicating a clinical focus.",169-806-211-561-804,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the claims is on a polynucleotide encoding a chimeric receptor with an anti-CD33 scFv, which is an unconjugated antibody component. The claims do not specify a complete ADC construct or method of treatment as the broadest claim is a composition claim for the polynucleotide encoding the receptor.",174-259-405-494-292,
Clinical,,,['cancer'],[],"The broadest independent claim focuses on a method of treating cancer using engineered immune cells. The claims primarily describe the production and use of these cells for therapeutic purposes, classifying the patent under 'Clinical'.",172-816-587-559-881,
Composition,,,[],[],"The primary claim is directed to a nanogel pharmaceutical composition that includes a biologic medicament. The focus is on the composition of the nanogel and its ability to load and release biologics, making it a composition patent.",178-433-898-645-584,
Clinical,,,['non-small cell lung cancer'],[],"The patent's primary focus is on a method of treating cancer using a specific sequence of therapeutics, which is indicative of a clinical patent. The claims detail a treatment regimen for non-small cell lung cancer, specifying the use of various drugs and biologics in a coordinated manner.",179-780-403-067-886,
Clinical,,,['folate receptor-alpha-positive ovarian cancer'],[],"The primary focus of the claims is on methods of treating folate receptor-alpha-positive ovarian cancer using a specific antibody conjugated to a carbohydrate and/or chemotherapeutic agent. The claims do not focus on the composition of the ADC itself, but rather on its clinical application.",186-299-697-587-037,
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of an allogeneic tumor cell vaccine that includes genetically engineered tumor cells expressing specific immunomodulatory molecules. The claims are centered around the composition of these engineered cells, which aligns with the 'Unconjugated Antibody' subtype as it involves the expression of specific ligands on the cell surface.",186-760-194-520-992,
Clinical,,,"['bladder cancer', 'breast cancer', 'colon cancer', 'gastroenterological cancer', 'kidney cancer', 'lung cancer', 'ovarian cancer', 'pancreatic cancer', 'prostate cancer', 'bile duct cancer', 'melanoma', 'colorectal cancer', 'metastatic colorectal cancer', 'metastatic pancreatic cancer', 'triple-negative breast cancer', 'small cell lung cancer']",[],"The primary claim is directed towards a method of treating tumors using a combination therapy, which classifies the patent as 'Clinical'. The claims specify various cancer types as indications for the treatment method.",186-550-034-551-479,
CMC,,Formulation/Stability,[],[],"The patent primarily focuses on the lyophilized formulation of an anti-tissue factor ADC, detailing the excipients and conditions for stability and reconstitution. The claims are centered around the formulation aspects, making it a CMC patent with a focus on formulation and stability.",185-334-807-672-385,
